Date,Month,Day,DayWeek,WeekDay,Hour,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SR,TOUT,WSR,WDV
01-ene-15,1,1,jue,5,1,2.51,10.2,12.9,23.1,10,139,80,725.4,0.01,96,0,3.91,7.2,344
01-ene-15,1,1,jue,5,2,2.41,9.2,11.6,20.8,7,42,29,725,0.02,96,0,3.81,6.3,341
01-ene-15,1,1,jue,5,3,2.39,8.1,11.8,19.9,7,23,9,724.4,0,96,0,3.85,5.2,346
01-ene-15,1,1,jue,5,5,2.26,5.3,8.9,14.2,7,23,14,724,0.01,96,0,3.79,5.6,336
01-ene-15,1,1,jue,5,8,2.25,7.2,10.2,17.4,5,15,8,724.3,0,96,0.023,3.93,4.8,354
01-ene-15,1,1,jue,5,9,2.21,5.8,8.2,14,7,16,6,724.3,0,96,0.052,4.13,4.2,15
01-ene-15,1,1,jue,5,12,2.38,10,10.1,20.1,10,22,17,722.6,0,96,0.127,6.6,3.2,29
01-ene-15,1,1,jue,5,13,2.51,11.5,12.3,23.8,12,32,16,721.7,0,95,0.15,6.89,4.8,2
01-ene-15,1,1,jue,5,14,2.55,12,13.5,25.5,14,31,19,721,0,94,0.175,7.43,4.6,47
01-ene-15,1,1,jue,5,15,2.45,10.5,12.8,23.3,11,50,35,720.8,0,93,0.091,7.15,4,42
01-ene-15,1,1,jue,5,16,2.59,11.4,14,25.4,11,45,15,720.8,0,93,0.091,7.04,2.9,54
01-ene-15,1,1,jue,5,17,2.73,16.1,17.7,33.8,10,62,36,720.6,0,93,0.014,6.82,4.4,81
01-ene-15,1,1,jue,5,18,2.76,14.8,18.6,33.4,8,67,37,721,0,93,0.008,6.7,3.7,58
01-ene-15,1,1,jue,5,19,2.81,21.2,18,39.2,6,59,33,721.3,0,94,0.016,6.5,5.6,101
01-ene-15,1,1,jue,5,20,2.6,18.2,11.6,29.8,5,61,10,721.5,0,94,0.004,5.79,8.2,118
01-ene-15,1,1,jue,5,22,2.35,9.7,11.3,21,5,28,14,721.6,0,95,0,5.09,7.5,103
01-ene-15,1,1,jue,5,23,2.28,6.3,9.9,16.2,6,23,6,721.5,0,95,0,4.98,7.9,106
02-ene-15,1,2,vie,6,0,2.22,5,8.1,13.1,6,15,12,721.7,0,96,0,4.86,4.1,83
02-ene-15,1,2,vie,6,1,2.22,5,9.4,14.4,5,15,11,721.6,0.01,96,0,4.88,3.7,29
02-ene-15,1,2,vie,6,2,2.19,3.8,8.5,12.3,6,15,12,721.3,0,96,0,4.76,5,20
02-ene-15,1,2,vie,6,6,2.25,8.1,11.2,19.3,4,8,5,721.3,0,96,0.011,4.41,3.3,1
02-ene-15,1,2,vie,6,8,2.44,15.3,12.8,28.1,4,12,12,721.9,0,95,0.043,4.69,3.1,5
02-ene-15,1,2,vie,6,9,2.43,22.1,12.6,34.7,5,17,13,722.1,0,95,0.073,5.13,2,31
02-ene-15,1,2,vie,6,12,2.52,16.4,12.2,28.6,10,42,10,720.1,0,91,0.13,7.31,1.8,70
02-ene-15,1,2,vie,6,13,2.57,23.8,14.9,38.7,10,49,14,718.9,0,88,0.117,7.53,2.6,76
02-ene-15,1,2,vie,6,14,2.63,23.3,15.5,38.8,8,73,52,718.4,0,87,0.07,7.25,4.4,66
02-ene-15,1,2,vie,6,15,2.67,22,15.5,37.5,7,66,26,718.3,0,89,0.04,6.96,4,58
02-ene-15,1,2,vie,6,16,2.62,21.3,16.9,38.2,6,72,30,718.1,0,91,0.02,6.61,3.7,55
02-ene-15,1,2,vie,6,17,2.8,33.8,19.9,53.7,5,62,29,717.9,0,92,0.005,6.52,4.6,103
02-ene-15,1,2,vie,6,18,2.8,30.5,15.5,46,4,62,29,718.1,0,93,0,6.35,5.5,112
02-ene-15,1,2,vie,6,19,2.73,32.9,14.7,47.6,4,40,20,718.4,0,94,0,6.31,4.6,93
02-ene-15,1,2,vie,6,20,2.69,26.2,15.3,41.5,4,50,28,719.1,0,94,0,6.27,3.4,68
02-ene-15,1,2,vie,6,21,2.62,25.2,16.3,41.5,4,47,40,719.2,0.01,95,0,6.23,2,78
02-ene-15,1,2,vie,6,22,2.62,26.2,15.9,42.1,4,43,23,719.4,0,95,0,6.36,2.8,33
02-ene-15,1,2,vie,6,23,2.58,25,15,40,4,35,15,719.3,0,95,0,6.43,2.9,29
03-ene-15,1,3,sáb,7,2,2.22,3.6,9.7,13.3,5,16,12,718.6,0,95,0,5.84,3.1,31
03-ene-15,1,3,sáb,7,4,2.37,12.3,13.5,25.8,4,34,13,718.1,0,96,0,6.35,1.5,60
03-ene-15,1,3,sáb,7,5,2.55,23.5,14.9,38.4,4,36,10,718.1,0,96,0,6.64,1.3,114
03-ene-15,1,3,sáb,7,6,2.67,20,18.6,38.6,4,31,6,718.4,0,95,0,7.01,2.5,30
03-ene-15,1,3,sáb,7,7,2.75,25.6,17.7,43.3,4,35,12,718.8,0,95,0.001,7.18,1.5,22
03-ene-15,1,3,sáb,7,8,2.74,35.5,18,53.5,4,37,11,719.5,0,95,0.022,7.36,1.3,43
03-ene-15,1,3,sáb,7,9,2.65,34.2,15.7,49.9,5,48,27,720.3,0,94,0.059,7.56,3,21
03-ene-15,1,3,sáb,7,10,2.51,24.2,14.7,38.9,5,50,35,721,0,94,0.076,7.67,3.6,6
03-ene-15,1,3,sáb,7,11,2.62,24.6,14.8,39.4,6,54,6,720.8,0,93,0.082,7.95,4.2,349
03-ene-15,1,3,sáb,7,12,2.56,19.6,14.1,33.7,8,52,39,720.2,0,91,0.13,8.32,5.7,349
03-ene-15,1,3,sáb,7,13,2.53,18.6,13,31.6,8,44,30,719.6,0,90,0.133,8.62,5.9,356
03-ene-15,1,3,sáb,7,14,2.54,14.8,12.7,27.5,10,39,14,719.5,0,87,0.176,9.9,3.8,340
03-ene-15,1,3,sáb,7,16,2.95,27,29.7,56.7,13,65,10,719.4,0,73,0.136,14.63,1.6,197
03-ene-15,1,3,sáb,7,17,3.2,35.4,37.2,72.6,9,96,71,719.7,0,74,0.019,12.97,1.1,189
03-ene-15,1,3,sáb,7,18,4.78,101,39.8,140.8,11,128,89,720.3,0,81,0.001,10.14,2.1,126
03-ene-15,1,3,sáb,7,19,5.02,131,36.9,167.9,12,185,94,721,0,86,0,9.49,3.7,129
03-ene-15,1,3,sáb,7,20,4.48,117.9,27.4,145.3,12,208,119,721.8,0,90,0,8.82,4.2,129
03-ene-15,1,3,sáb,7,21,3.96,88.7,26.6,115.3,10,196,68,722.5,0,91,0,8.35,1.8,136
04-ene-15,1,4,dom,1,13,2.36,6.2,10.5,16.7,30,40,5,728.7,0,50,0.435,16.67,10.8,18
04-ene-15,1,4,dom,1,16,2.49,6.5,16.8,23.3,31,35,31,729.2,0,46,0.165,17.26,8.1,15
04-ene-15,1,4,dom,1,17,2.59,6.9,21.9,28.8,26,54,45,729.9,0,53,0.041,15.14,8.7,16
04-ene-15,1,4,dom,1,18,2.6,5.8,21.7,27.5,25,63,31,730.8,0,57,0.001,13.74,5.7,41
04-ene-15,1,4,dom,1,19,2.74,8,28.7,36.7,17,63,23,731.4,0,61,0,12.83,3.4,14
04-ene-15,1,4,dom,1,20,2.94,16.6,38,54.6,10,68,17,732,0,65,0,12.14,4.9,340
04-ene-15,1,4,dom,1,21,2.75,18,38.6,56.6,6,86,29,732.3,0,71,0,10.88,5.9,313
04-ene-15,1,4,dom,1,22,2.71,21.3,38,59.3,8,71,25,732.4,0,73,0,10.39,5.4,266
04-ene-15,1,4,dom,1,23,2.3,4.6,12.7,17.3,31,68,5,732.6,0,70,0,10.85,12.7,126
05-ene-15,1,5,lun,2,0,2.24,4.6,10.3,14.9,32,52,7,732.6,0,72,0,10.23,13.3,119
05-ene-15,1,5,lun,2,4,2.18,3.9,12.2,16.1,27,24,8,733.2,0,75,0,8.37,5.4,95
05-ene-15,1,5,lun,2,5,2.32,4,15.6,19.6,23,30,15,733.2,0,76,0,8.04,5.6,88
05-ene-15,1,5,lun,2,6,2.49,6.8,23.8,30.6,16,38,17,733.3,0,78,0.001,7.23,3.3,51
05-ene-15,1,5,lun,2,7,2.8,15.8,34.6,50.4,7,48,17,733.5,0,80,0.003,6.87,3.4,85
05-ene-15,1,5,lun,2,8,2.71,20.4,31.9,52.3,9,89,19,733.9,0,79,0.035,7.21,5.4,101
05-ene-15,1,5,lun,2,9,2.56,18.8,28.4,47.2,11,100,13,734.2,0,78,0.088,7.63,4.5,84
05-ene-15,1,5,lun,2,10,2.56,24,26.5,50.5,13,85,11,734,0,77,0.189,8.85,3.7,71
05-ene-15,1,5,lun,2,11,2.51,18.8,24.3,43.1,19,92,17,733.5,0,74,0.339,10.42,4.2,66
05-ene-15,1,5,lun,2,12,2.5,13.8,19.5,33.3,30,82,23,732.5,0,69,0.463,11.45,6.9,109
05-ene-15,1,5,lun,2,13,2.44,10.3,16.9,27.2,35,73,22,731.5,0,64,0.451,12.89,6.3,97
05-ene-15,1,5,lun,2,14,2.47,8.3,16.3,24.6,36,68,14,730.9,0,63,0.278,12.6,8.1,100
05-ene-15,1,5,lun,2,15,2.47,10.1,17.4,27.5,35,66,16,730.6,0,62,0.213,12.31,9.7,106
05-ene-15,1,5,lun,2,16,2.39,7.5,15.9,23.4,31,74,17,730.5,0,65,0.092,11.97,10.7,105
05-ene-15,1,5,lun,2,17,2.64,9.4,23,32.4,23,62,24,730.5,0,67,0.022,11.5,8.6,103
05-ene-15,1,5,lun,2,19,2.71,15,35.5,50.5,11,93,55,730.5,0,71,0,10.32,8.2,107
05-ene-15,1,5,lun,2,20,2.7,17.7,34.1,51.8,10,113,33,730.4,0,73,0,9.87,7.1,112
05-ene-15,1,5,lun,2,21,2.69,13.8,30.4,44.2,10,99,23,730.4,0,76,0,9.29,8.7,111
05-ene-15,1,5,lun,2,22,2.5,8.4,23.8,32.2,14,88,20,730.2,0,76,0,8.91,6.5,115
05-ene-15,1,5,lun,2,23,2.44,4.9,17,21.9,18,56,22,729.8,0,75,0,8.63,6.1,111
06-ene-15,1,6,mar,3,0,2.36,3.9,18.9,22.8,16,40,11,729.5,0,76,0,8.56,4.5,101
06-ene-15,1,6,mar,3,2,2.4,3.4,26.8,30.2,9,55,33,729.1,0,77,0,8.34,3.1,28
06-ene-15,1,6,mar,3,3,2.37,5.7,25.4,31.1,8,56,21,729.1,0,78,0,8.11,2.8,38
06-ene-15,1,6,mar,3,4,2.37,9.3,26.8,36.1,5,65,31,729,0,84,0,7.56,2.9,35
06-ene-15,1,6,mar,3,5,2.46,9,28.1,37.1,6,51,18,729,0,85,0,7.61,2.8,18
06-ene-15,1,6,mar,3,6,2.83,28.6,30.1,58.7,5,49,29,729.3,0,85,0,7.5,3.2,75
06-ene-15,1,6,mar,3,7,2.78,34.7,33.4,68.1,6,44,24,729.7,0,85,0.003,7.58,2.8,149
06-ene-15,1,6,mar,3,8,3.36,67.4,36.4,103.8,7,65,17,730,0,84,0.052,8.47,2.8,251
06-ene-15,1,6,mar,3,9,4.02,124.5,46.2,170.7,11,96,33,730.2,0,81,0.131,10.41,2.8,327
06-ene-15,1,6,mar,3,10,3.59,68.2,47.1,115.3,12,142,44,730.2,0,76,0.214,11.7,3.6,22
06-ene-15,1,6,mar,3,11,3.17,38,44.4,82.4,20,139,24,729.4,0,69,0.401,13.55,3.1,91
06-ene-15,1,6,mar,3,12,3.32,23.6,42.9,66.5,31,128,15,728.1,0,60,0.475,16.32,3.3,41
06-ene-15,1,6,mar,3,13,3.27,21.8,56.3,78.1,41,116,22,727.1,0,58,0.53,17.27,4.4,75
06-ene-15,1,6,mar,3,14,3.71,28,89.5,117.5,44,174,105,726.7,0,60,0.386,17.09,7.1,117
06-ene-15,1,6,mar,3,15,3.19,20.1,58.7,78.8,43,244,99,726.7,0,61,0.191,16.73,8.2,113
06-ene-15,1,6,mar,3,16,2.73,6.8,29,35.8,49,189,49,726.7,0,63,0.126,16.55,7.3,107
06-ene-15,1,6,mar,3,17,2.82,7.8,31.8,39.6,36,105,21,726.8,0,66,0.036,15.98,6.7,105
06-ene-15,1,6,mar,3,18,3,9.9,49.9,59.8,27,121,9,727,0,66,0,15.22,5.5,101
06-ene-15,1,6,mar,3,19,3.41,26.9,67,93.9,10,153,33,727.3,0,69,0,14.46,2.4,92
06-ene-15,1,6,mar,3,20,3.65,46.2,57.1,103.3,7,184,66,727.3,0,70,0,14.55,6,107
06-ene-15,1,6,mar,3,21,3.12,19.8,39.3,59.1,6,188,36,727.3,0,76,0,14.03,7.9,108
06-ene-15,1,6,mar,3,22,3.01,17.5,32.3,49.8,6,110,21,727.3,0,80,0,13.34,5.8,107
06-ene-15,1,6,mar,3,23,2.87,23.8,32,55.8,5,85,7,727.2,0,83,0,12.63,2.8,37
07-ene-15,1,7,mié,4,0,3,38.4,32.5,70.9,4,101,43,727,0,85,0,12.29,2.2,6
07-ene-15,1,7,mié,4,1,2.79,43.9,32.6,76.5,4,101,22,727.1,0,86,0,11.99,3.4,355
07-ene-15,1,7,mié,4,2,2.59,29.1,31.2,60.3,4,101,36,727.1,0,87,0,11.39,1.7,355
07-ene-15,1,7,mié,4,16,2.57,7.1,17.2,24.3,20,98,14,730.7,0.01,93,0.017,11.98,10.9,351
07-ene-15,1,7,mié,4,18,2.62,6.7,21.3,28,20,27,15,732.2,0.02,94,0,10.49,11.5,360
07-ene-15,1,7,mié,4,19,2.58,6.8,21.5,28.3,20,26,16,733.1,0,94,0.014,10.33,8.5,345
08-ene-15,1,8,jue,5,2,2.26,2.9,7.1,10,31,22,8,734.3,0,77,0.04,6.29,10.7,8
08-ene-15,1,8,jue,5,3,2.26,2.9,9.3,12.2,28,31,18,734.1,0,74,0.034,6.08,10.5,6
08-ene-15,1,8,jue,5,4,2.26,3.2,9.2,12.4,26,44,22,733.7,0,76,0.011,5.44,11,358
08-ene-15,1,8,jue,5,7,2.46,8,18.1,26.1,17,43,14,733.3,0,73,0.007,3.78,8,352
08-ene-15,1,8,jue,5,8,2.43,6.6,17.9,24.5,17,48,8,733.1,0,72,0.038,3.75,7,1
08-ene-15,1,8,jue,5,9,2.39,6.2,17.5,23.7,18,40,16,733,0,71,0.059,3.79,5.7,22
08-ene-15,1,8,jue,5,10,2.39,6.9,16.4,23.3,20,43,5,732.7,0,69,0.103,3.98,6.2,0
08-ene-15,1,8,jue,5,11,2.42,8.4,17.6,26,20,46,7,731.6,0,71,0.13,4.32,4.8,335
08-ene-15,1,8,jue,5,12,2.44,9,18.4,27.4,21,50,16,730.3,0,73,0.164,5.18,2.8,305
08-ene-15,1,8,jue,5,13,2.72,21.1,24.2,45.3,17,57,8,729.2,0,73,0.145,5.46,5.4,121
08-ene-15,1,8,jue,5,14,2.69,16.6,20.5,37.1,16,99,12,728.4,0,83,0.068,3.95,8.6,123
08-ene-15,1,8,jue,5,15,2.52,10.7,18.4,29.1,16,71,52,727.9,0,87,0.037,3.66,6,128
08-ene-15,1,8,jue,5,16,2.55,11.3,19.8,31.1,14,52,23,727.6,0,88,0.028,3.68,7.4,116
08-ene-15,1,8,jue,5,17,2.72,17.3,25.1,42.4,11,59,13,727.4,0,88,0.01,3.93,5.1,122
08-ene-15,1,8,jue,5,18,2.79,22,28.1,50.1,10,64,23,727,0,87,0,4.43,5.3,130
08-ene-15,1,8,jue,5,19,2.71,15.4,27.4,42.8,15,69,21,727,0,84,0,4.63,6.7,124
08-ene-15,1,8,jue,5,20,2.57,8.5,23.3,31.8,17,77,20,726.8,0,83,0,4.47,7.2,115
08-ene-15,1,8,jue,5,21,2.58,9.8,22.8,32.6,16,61,14,726.6,0,85,0,4.25,6.2,107
08-ene-15,1,8,jue,5,22,2.54,7,23,30,15,68,19,726,0,86,0,4.16,4.7,114
08-ene-15,1,8,jue,5,23,2.49,5.6,24.4,30,13,53,29,725.6,0,87,0,4.18,1.5,120
09-ene-15,1,9,vie,6,2,2.77,16.9,33.2,50.1,5,77,25,724,0,87,0,4.47,2.8,303
09-ene-15,1,9,vie,6,3,2.69,22.1,31.3,53.4,5,80,25,723.9,0,87,0,4.47,3.5,308
09-ene-15,1,9,vie,6,4,2.61,14.5,27.2,41.7,5,85,26,723.8,0,87,0,4.7,3.9,296
09-ene-15,1,9,vie,6,5,2.86,37,29.5,66.5,6,73,39,723.6,0,87,0,4.61,2.1,312
09-ene-15,1,9,vie,6,6,3.12,50.8,29.3,80.1,5,99,32,723.9,0,88,0,5.17,2.1,310
09-ene-15,1,9,vie,6,7,3.25,47.7,29.9,77.6,5,94,40,724.8,0,88,0.002,5.86,3,294
09-ene-15,1,9,vie,6,8,2.86,24.2,29,53.2,6,73,24,725.8,0,88,0.013,6.39,2.1,294
09-ene-15,1,9,vie,6,9,2.95,32.4,29.1,61.5,6,66,38,727,0,88,0.034,6.81,4.3,323
09-ene-15,1,9,vie,6,10,2.78,19.6,22.1,41.7,8,81,16,727.8,0,90,0.051,6.33,5.5,348
09-ene-15,1,9,vie,6,11,2.63,14,18.4,32.4,10,45,22,727.9,0,92,0.06,6.25,6.8,333
09-ene-15,1,9,vie,6,12,2.63,14.9,18.4,33.3,11,33,11,727.4,0,93,0.076,6.27,7,344
09-ene-15,1,9,vie,6,13,2.63,13,17.8,30.8,13,44,7,727.1,0,91,0.073,7.08,7.7,347
09-ene-15,1,9,vie,6,15,2.73,16,21.6,37.6,10,49,13,727,0.07,85,0.054,7.13,6.6,359
09-ene-15,1,9,vie,6,16,2.68,15.1,20.4,35.5,11,39,12,727.3,0.01,87,0.052,6.75,7.7,350
09-ene-15,1,9,vie,6,17,2.65,12.7,20.4,33.1,10,31,12,727.8,0,86,0.015,6.53,7.4,353
09-ene-15,1,9,vie,6,18,2.71,15.1,22.3,37.4,9,34,15,728.6,0,87,0,6.04,7.9,358
09-ene-15,1,9,vie,6,19,2.67,12.7,22,34.7,11,26,7,729.3,0,87,0,5.59,9,353
09-ene-15,1,9,vie,6,20,2.58,9.3,21.4,30.7,12,26,19,729.8,0,88,0,5.23,9.1,355
09-ene-15,1,9,vie,6,21,2.49,9.3,19.2,28.5,12,24,5,729.9,0,88,0,4.96,9.5,351
09-ene-15,1,9,vie,6,22,2.46,6.9,16.2,23.1,13,20,9,730,0,89,0,4.64,7.5,325
10-ene-15,1,10,sáb,7,1,2.33,3.6,11.5,15.1,14,18,5,729.3,0,91,0,4.11,6.7,344
10-ene-15,1,10,sáb,7,3,2.32,3.4,10.2,13.6,14,14,6,728.6,0,91,0,3.78,6.4,356
10-ene-15,1,10,sáb,7,10,2.64,15.3,17.5,32.8,9,17,15,728.9,0.01,94,0.059,3.28,5.9,340
10-ene-15,1,10,sáb,7,11,2.63,15.8,16.4,32.2,10,14,13,728.4,0,94,0.106,3.7,5.3,348
10-ene-15,1,10,sáb,7,15,2.77,17,18.7,35.7,9,25,14,725.4,0,94,0.062,4.91,5,15
10-ene-15,1,10,sáb,7,17,2.85,18.5,21.9,40.4,8,30,18,725.5,0,94,0.009,4.27,5.1,12
10-ene-15,1,10,sáb,7,18,3.02,26.5,24.5,51,6,37,13,725.5,0.05,94,0,4.11,5.4,35
10-ene-15,1,10,sáb,7,19,2.86,24.3,23,47.3,5,28,16,725.8,0.04,94,0,3.86,4.2,355
10-ene-15,1,10,sáb,7,20,2.82,19.5,22.8,42.3,5,29,11,726.1,0,94,0,3.82,3.9,27
10-ene-15,1,10,sáb,7,21,2.68,17.4,22.3,39.7,5,32,14,725.8,0,94,0,3.75,4.7,337
10-ene-15,1,10,sáb,7,22,2.65,12.8,19.1,31.9,6,26,15,725.7,0,94,0,3.66,4.5,15
10-ene-15,1,10,sáb,7,23,2.63,13.7,19.8,33.5,5,22,8,725.6,0,94,0,3.5,1.8,350
11-ene-15,1,11,dom,1,2,2.42,7.7,17.3,25,5,19,15,724.3,0,94,0,3.16,3.9,335
11-ene-15,1,11,dom,1,3,2.45,8.3,17.5,25.8,4,16,11,723.9,0,94,0,3.39,2,313
12-ene-15,1,12,lun,2,10,4.68,115.9,74.7,190.6,16,267,79,724.7,0,73,0.374,16.89,4.6,52
12-ene-15,1,12,lun,2,12,3.38,21,52.4,73.4,40,197,84,724,0,61,0.538,19.16,6.5,104
12-ene-15,1,12,lun,2,13,3.03,11,30.8,41.8,49,171,72,722.9,0,59,0.506,19.24,8.8,104
12-ene-15,1,12,lun,2,14,2.84,8.6,23.5,32.1,53,119,51,722.2,0,58,0.483,19.53,10.9,102
12-ene-15,1,12,lun,2,15,2.69,6.8,16.8,23.6,46,101,43,722.2,0,56,0.367,19.69,10.6,102
12-ene-15,1,12,lun,2,16,2.68,7.2,19.3,26.5,45,82,35,722.3,0,56,0.161,19.16,10.3,100
12-ene-15,1,12,lun,2,17,2.92,9.9,28.1,38,33,82,32,722.8,0,60,0.038,17.98,10,103
12-ene-15,1,12,lun,2,18,3.03,12.8,33.4,46.2,17,112,40,723.4,0,68,0.007,16.36,11.1,106
13-ene-15,1,13,mar,3,18,2.79,17.1,18.8,35.9,6,19,6,726.4,0,94,0,5.84,6.7,111
13-ene-15,1,13,mar,3,20,2.7,13.6,17.1,30.7,6,21,8,726.9,0,94,0,5.82,8.5,108
13-ene-15,1,13,mar,3,21,2.62,10.3,15.3,25.6,8,12,8,727.1,0.01,94,0.001,5.6,8.2,103
13-ene-15,1,13,mar,3,22,2.62,8.1,15.2,23.3,8,20,16,727.1,0,94,0,5.51,7.9,101
13-ene-15,1,13,mar,3,23,2.54,6.3,12.9,19.2,9,9,7,726.9,0,94,0.002,5.44,8,102
14-ene-15,1,14,mié,4,1,2.44,3.7,8.8,12.5,12,15,8,726,0,94,0.009,5.32,8,106
14-ene-15,1,14,mié,4,4,2.45,3.7,9.2,12.9,9,9,6,725.7,0,94,0.013,5.03,3.3,99
14-ene-15,1,14,mié,4,6,2.73,20.1,17.5,37.6,4,13,8,725.6,0,94,0.014,5.09,4.1,102
14-ene-15,1,14,mié,4,9,2.81,28,14.5,42.5,4,14,8,726.5,0,95,0.044,5.1,5,359
14-ene-15,1,14,mié,4,10,2.77,21.9,13.6,35.5,6,22,19,726.8,0,95,0.086,5.45,5,2
14-ene-15,1,14,mié,4,11,2.79,23.3,15.5,38.8,5,27,19,726.2,0,95,0.069,5.73,4,353
14-ene-15,1,14,mié,4,12,2.82,24.4,15.5,39.9,6,20,15,725.4,0.01,95,0.071,5.87,4.7,10
14-ene-15,1,14,mié,4,13,2.84,21.8,15.7,37.5,6,23,7,724.4,0.01,95,0.089,6.06,4.3,7
14-ene-15,1,14,mié,4,14,2.92,27.8,17.4,45.2,7,21,15,723.8,0.02,95,0.069,6.25,4.8,358
14-ene-15,1,14,mié,4,18,2.95,29.7,19.6,49.3,4,23,19,724.6,0,95,0,5.89,6.1,11
14-ene-15,1,14,mié,4,19,2.94,25.1,18.8,43.9,4,32,6,724.9,0.01,95,0,5.81,5.5,2
14-ene-15,1,14,mié,4,20,2.91,23.2,19.2,42.4,4,26,20,725.2,0,94,0,5.77,5.1,358
14-ene-15,1,14,mié,4,21,2.84,22.1,19.7,41.8,4,27,21,725.4,0,94,0,5.67,5.5,356
14-ene-15,1,14,mié,4,22,2.66,11.4,17.8,29.2,5,26,12,725.4,0,93,0,5.42,5.8,353
15-ene-15,1,15,jue,5,0,2.51,4.8,12.9,17.7,9,22,5,725.4,0,93,0,4.73,6.6,356
15-ene-15,1,15,jue,5,1,2.48,4,11.1,15.1,10,21,5,725.2,0.01,94,0,4.74,6.2,344
15-ene-15,1,15,jue,5,3,2.45,3.3,8,11.3,11,14,5,725.3,0.01,94,0,4.56,8.1,352
15-ene-15,1,15,jue,5,4,2.46,3.9,8.7,12.6,10,14,7,725.4,0,94,0,4.76,8,344
15-ene-15,1,15,jue,5,10,2.65,13.1,12.7,25.8,11,35,8,729.1,0,79,0.242,7.73,10,358
15-ene-15,1,15,jue,5,11,2.61,10.7,10.9,21.6,14,39,12,729.1,0,74,0.401,9.3,9.1,357
15-ene-15,1,15,jue,5,12,2.61,9.2,10.3,19.5,16,39,8,728.3,0,69,0.452,10.27,9.1,359
15-ene-15,1,15,jue,5,14,2.71,8.5,12.4,20.9,18,45,19,726.8,0,63,0.221,12.05,7.7,6
15-ene-15,1,15,jue,5,16,2.75,9.1,15.9,25,15,53,27,726.9,0,63,0.09,12.17,5.2,32
15-ene-15,1,15,jue,5,17,2.87,14.2,22,36.2,13,46,29,727.2,0,68,0.039,11.32,3.6,74
15-ene-15,1,15,jue,5,18,3.25,31.3,30.5,61.8,7,66,25,727.7,0,70,0,10.67,1.6,91
15-ene-15,1,15,jue,5,19,3.03,25,31.7,56.7,5,117,28,728.1,0,72,0,10.21,3.5,35
15-ene-15,1,15,jue,5,20,3.13,21.7,32.5,54.2,6,101,17,728.5,0,72,0,9.93,3.6,8
15-ene-15,1,15,jue,5,21,3.15,34.7,34.6,69.3,5,104,31,728.6,0,71,0,9.81,3,321
15-ene-15,1,15,jue,5,22,3.01,35.9,33.9,69.8,5,91,20,728.6,0,73,0,9.56,3.5,322
15-ene-15,1,15,jue,5,23,2.97,35.6,33.4,69,4,95,15,728.7,0,75,0,9.09,3.5,325
16-ene-15,1,16,vie,6,8,4.15,163.5,29.4,192.9,6,260,35,728.4,0,88,0.1,7.46,1.7,307
16-ene-15,1,16,vie,6,9,4.86,216.8,40.4,257.2,7,211,10,728.7,0,84,0.176,9.51,0.9,342
16-ene-15,1,16,vie,6,10,4.2,128.4,54.3,182.7,11,240,33,728.9,0,71,0.346,14.74,1,125
16-ene-15,1,16,vie,6,11,3.15,31.7,34.7,66.4,18,219,41,728.7,0,59,0.475,14.68,3.5,6
16-ene-15,1,16,vie,6,12,2.74,15.2,20.6,35.8,26,111,32,727.6,0,55,0.539,15.71,4,32
16-ene-15,1,16,vie,6,14,2.82,11.1,23.8,34.9,37,72,23,725.3,0,49,0.485,17.72,4,50
16-ene-15,1,16,vie,6,15,2.88,8.4,26.9,35.3,43,98,43,724.7,0,47,0.366,18.48,4.3,27
16-ene-15,1,16,vie,6,16,2.96,9.8,29.8,39.6,43,117,35,724.6,0,48,0.173,17.71,5.2,113
16-ene-15,1,16,vie,6,17,3.15,10.6,35.3,45.9,35,116,27,724.6,0,53,0.034,16.54,7.1,123
16-ene-15,1,16,vie,6,18,3.3,12.6,49.1,61.7,25,160,36,724.8,0,59,0.002,15.11,8.7,117
16-ene-15,1,16,vie,6,19,3.32,11.1,50.9,62,23,171,38,725,0,65,0,14,8.1,123
16-ene-15,1,16,vie,6,20,3.33,16.9,47.8,64.7,16,161,26,725,0,65,0,13.54,6.5,125
16-ene-15,1,16,vie,6,21,3.54,22.3,53.3,75.6,10,159,41,725,0,66,0,12.98,5.1,118
16-ene-15,1,16,vie,6,22,3.36,18.9,52.8,71.7,9,174,33,724.9,0,69,0,12.4,4,109
16-ene-15,1,16,vie,6,23,3.36,12.3,46,58.3,11,165,20,724.7,0,69,0,12.14,4.2,120
17-ene-15,1,17,sáb,7,8,4.98,202.1,49.2,251.3,9,202,48,723.2,0,84,0.078,10.63,2.4,260
17-ene-15,1,17,sáb,7,9,5.03,158.6,64,222.6,12,261,66,723.4,0,75,0.228,14.84,1.8,57
17-ene-15,1,17,sáb,7,10,4.41,99.9,85,184.9,19,277,71,723.4,0,61,0.404,19.21,2.3,10
17-ene-15,1,17,sáb,7,11,3.53,20.3,49.5,69.8,36,284,58,722.8,0,49,0.489,21.74,2.7,157
17-ene-15,1,17,sáb,7,12,3.33,10.3,37.9,48.2,49,167,43,722,0,43,0.555,23.72,3,304
17-ene-15,1,17,sáb,7,13,3.27,9.9,36.9,46.8,57,132,23,721.1,0,41,0.543,24.93,3.5,34
17-ene-15,1,17,sáb,7,14,2.86,5.2,17.3,22.5,50,137,15,720.6,0,41,0.424,24.83,4.6,19
